Structure,Algorithm,N,Time
Array,Naive,100,0.00027320006241401035
Array,Naive,500,0.009020233332800368
Array,Naive,5000,0.8751348999794573
Array,insertSort,100,0.0012595666727672021
Array,insertSort,500,0.024550433348243434
Array,insertSort,5000,2.9819013999852664
Array,insertSort,10000,15.428314800024964
Array,mergeSort,100,0.0005015333493550619
Array,mergeSort,500,0.0025528999976813793
Array,mergeSort,5000,0.03553566670355698
Array,mergeSort,10000,0.0888722666228811
Array,quickSort,100,0.0006034666827569405
Array,quickSort,500,0.003960100002586842
Array,quickSort,5000,0.05031929995554189
Array,quickSort,10000,0.1355984000256285
LinkedList,Naive,100,0.00029986669930318993
LinkedList,Naive,500,0.009040499959761897
LinkedList,Naive,5000,0.923255933332257
LinkedList,insertSort,100,0.0012015999915699165
LinkedList,insertSort,500,0.025884933342846733
LinkedList,insertSort,5000,3.000228099951831
LinkedList,insertSort,10000,14.444262499998635
LinkedList,mergeSort,100,0.0004363333573564887
LinkedList,mergeSort,500,0.0029248333303257823
LinkedList,mergeSort,5000,0.03535836663407584
LinkedList,mergeSort,10000,0.09009916669068237
LinkedList,quickSort,100,0.0006260666608189543
LinkedList,quickSort,500,0.003825933400851985
LinkedList,quickSort,5000,0.05284350000632306
LinkedList,quickSort,10000,0.13951693339428553
